questionName,inputType,active,section,group,path,label::fr,label::en,label_one::fr,label_one::en,parameters,appearance,conditional,validation,choices,help_popup,inputRange,confirm_popup,containsHtml,customPath,customChoice,defaultValue,includeNotApplicable,comments
accessCode,String,True,accessCode,,accessCode,"**Code d'accès**
__Inscrit dans la lettre reçue.__","**Access code**
__Printed on the letter you received.__",,,formatter=accessCodeFormatter,,isAccessCodeNotValidConditional,accessCodeValidation,,,,,True,,,,,Cacher la question lorsque le code a été validé et pré-rempli pour empêcher de pouvoir venir le modifier
accessCodeIsCorrectConfirmation,Checkbox,True,accessCode,,accessCodeIsCorrect,Ce code d'accès ne semble pas valide. Veuillez vérifier l'information entrée ou cocher la case pour confirmer cette information,This access code does not appear to be valid. Please verify the information or check the checkbox to confirm the values entered.,,,,,isAccessCodeInvalidConditional,accessCodeConfirmIsCheckedCustomValidation,accessCodeConfirmChoices,,,,,,,,,
accessCode_confirm,Custom,True,accessCode,,accessCode.confirm,Confirmer,Confirm,,,,,,,,,,,True,,,,,Custom car le bouton doit envoyer un champ pour informer le backend de pré-remplir les champs ou retourner invalide.
acceptToBeContactedForHelp,Radio,True,home,,acceptToBeContactedForHelp,"Je consens à être contacté(e) pour **continuer ou préciser le questionnaire**
__Si je ne le termine pas ou si certains des renseignements fournis sont incohérents.__","I consent to be contacted to **continue or clarify the survey**
__If I do not complete it or if some of the information provided appears inconsistent.__",,,,,,,yesNo,,,,True,,,,,
wantToParticipateToDraw,Radio,True,home,,wantToParticipateToDraw,"Je souhaite participer au **tirage au sort**
__Seuls les gagnants seront contactés. Il est nécessaire de terminer le questionnaire pour être retenu (<a href=""https://www.artm.quebec/wp-content/uploads/2026/07/Reglement-concours_Enquete-2026-Pm_FR.pdf"" target=""_blank"">Voir règlement</a>).__","I would like to participate in the **prize draw**
__Only winners will be contacted and an entry for the prize draw requires a complete and valid survey response (<a href=""https://www.artm.quebec/wp-content/uploads/2026/08/Contest-Rules_2026-Pm_EN.pdf"" target=""_blank"">View rules</a>).__",,,,,,,yesNo,,,,True,,,,,
contactInformationIntro,InfoText,True,home,,contactInformationIntro,Veuillez saisir le courriel pour vous recontacter.,Please enter the email so we can contact you.,,,,,acceptsToBeContactedForHelp,,,,,,True,,,,,
contactEmail,String,True,home,,contactEmail,**Adresse courriel**,**Email address**,,,,,acceptsToBeContactedForHelp,emailValidation,,,,,True,,,,,
homeIntro,InfoText,True,home,,homeIntro,"Votre adresse est pré-remplie en fonction du code d'accès.
Merci de vérifier que les informations sont correctes et les corriger si nécessaire.","Your address has been pre-filled based on your access code.
Please verify that the information is correct and update it if necessary.",,,,,homeAddressIsPrefilledConditional,,,,,,True,,,,,
homeAddress,String,True,home,,home.address,**Adresse**,**Address**,,,,,,,,,,,True,,,,,
homeCity,String,True,home,,home.city,**Ville** ou **municipalité**,**City** or **municipality**,,,,,,,,,,,True,,,,,
homePostalCode,String,True,home,,home.postalCode,**Code postal**,**Postal Code**,,,formatter=canadianPostalCodeFormatter,,,postalCodeValidation,,,,,True,,,,,
